Class,GridFins,ReusedCore,Legs,ReusedFairings,PayloadMass,FlightNumber,Flights,Block,ReusedCount,Year,Orbit,LaunchSite,Date,Serial,GTO,ISS,VLEO,LEO,B4,B5
1,1,0,1,0,7060.0,56,1,5,5,2018,GTO,CCAFS SLC 40,9/10/2018,B1049,1,0,0,0,0,1
1,1,1,1,0,2800.0,57,2,5,4,2018,SSO,VAFB SLC 4E,10/8/2018,B1048,0,0,0,0,0,1
1,1,1,1,0,3000.0,58,2,5,2,2018,GTO,KSC LC 39A,11/15/2018,B1047,1,0,0,0,0,1
1,1,1,1,0,4000.0,59,3,5,3,2018,SSO,VAFB SLC 4E,12/3/2018,B1046,0,0,0,0,0,1
0,1,0,1,0,2573.0,60,1,5,0,2018,ISS,CCAFS SLC 40,12/5/2018,B1050,0,1,0,0,0,1
0,0,0,0,0,4400.0,61,1,5,0,2018,MEO,CCAFS SLC 40,12/23/2018,B1054,0,0,0,0,0,1
1,1,1,1,0,9600.0,62,2,5,5,2019,PO,VAFB SLC 4E,1/11/2019,B1049,0,0,0,0,0,1
1,1,0,1,0,12259.0,63,1,5,5,2019,ISS,KSC LC 39A,3/2/2019,B1051,0,1,0,0,0,1
1,1,0,1,0,2482.0,64,1,5,3,2019,ISS,CCAFS SLC 40,5/4/2019,B1056,0,1,0,0,0,1
1,1,1,1,0,13620.0,65,3,5,5,2019,VLEO,CCAFS SLC 40,5/24/2019,B1049,0,0,1,0,0,1
1,1,1,1,0,1425.0,66,2,5,5,2019,SSO,VAFB SLC 4E,6/12/2019,B1051,0,0,0,0,0,1
1,1,1,1,0,2227.7,67,2,5,3,2019,ISS,CCAFS SLC 40,7/25/2019,B1056,0,1,0,0,0,1
0,0,1,0,0,6500.0,68,3,5,2,2019,GTO,CCAFS SLC 40,8/6/2019,B1047,1,0,0,0,0,1
1,1,1,1,1,15600.0,69,4,5,4,2019,VLEO,CCAFS SLC 40,11/11/2019,B1048,0,0,1,0,0,1
1,1,0,1,0,5000.0,70,1,5,3,2019,ISS,CCAFS SLC 40,12/5/2019,B1059,0,1,0,0,0,1
1,1,1,1,0,6800.0,71,3,5,3,2019,GTO,CCAFS SLC 40,12/17/2019,B1056,1,0,0,0,0,1
1,1,1,1,0,15400.0,72,4,5,5,2020,VLEO,CCAFS SLC 40,1/7/2020,B1049,0,0,1,0,0,1
0,0,1,0,0,6104.959412,73,4,5,3,2020,SO,KSC LC 39A,1/19/2020,B1046,0,0,0,0,0,1
1,1,1,1,0,15600.0,74,3,5,5,2020,VLEO,CCAFS SLC 40,1/29/2020,B1051,0,0,1,0,0,1
0,1,1,1,0,15400.0,75,4,5,3,2020,VLEO,CCAFS SLC 40,2/17/2020,B1056,0,0,1,0,0,1
1,1,1,1,0,1977.0,76,2,5,3,2020,ISS,CCAFS SLC 40,3/7/2020,B1059,0,1,0,0,0,1
0,1,1,1,1,15600.0,77,5,5,4,2020,VLEO,KSC LC 39A,3/18/2020,B1048,0,0,1,0,0,1
1,1,1,1,1,15400.0,78,4,5,5,2020,VLEO,KSC LC 39A,4/22/2020,B1051,0,0,1,0,0,1
1,1,0,1,0,9525.0,79,1,5,2,2020,ISS,KSC LC 39A,5/30/2020,B1058,0,1,0,0,0,1
1,1,1,1,0,15400.0,80,5,5,5,2020,VLEO,CCAFS SLC 40,6/4/2020,B1049,0,0,1,0,0,1
1,1,1,1,1,15400.0,81,3,5,3,2020,VLEO,CCAFS SLC 40,6/13/2020,B1059,0,0,1,0,0,1
1,1,0,1,0,3880.0,82,1,5,2,2020,MEO,CCAFS SLC 40,6/30/2020,B1060,0,0,0,0,0,1
1,1,1,1,0,6104.959412,83,2,5,2,2020,GEO,CCAFS SLC 40,7/20/2020,B1058,0,0,0,0,0,1
1,1,1,1,1,15400.0,84,6,5,5,2020,VLEO,CCAFS SLC 40,8/18/2020,B1049,0,0,1,0,0,1
1,1,1,1,0,1600.0,85,4,5,3,2020,SSO,CCAFS SLC 40,8/30/2020,B1059,0,0,0,0,0,1
1,1,1,1,0,15400.0,86,2,5,2,2020,VLEO,KSC LC 39A,9/3/2020,B1060,0,0,1,0,0,1
1,1,1,1,1,15400.0,87,3,5,2,2020,VLEO,KSC LC 39A,10/6/2020,B1058,0,0,1,0,0,1
1,1,1,1,1,15400.0,88,6,5,5,2020,VLEO,KSC LC 39A,10/18/2020,B1051,0,0,1,0,0,1
1,1,1,1,0,15400.0,89,3,5,2,2020,VLEO,CCAFS SLC 40,10/24/2020,B1060,0,0,1,0,0,1
1,1,0,1,0,3681.0,90,1,5,0,2020,MEO,CCAFS SLC 40,11/5/2020,B1062,0,0,0,0,0,1
