CostCoreMil,CostFairingsMil,CostOtherMil,CostKgMil,CostTotalMil,RevenueReuseMil,RevenueKgMil,RevenueTotalMil,ProfitMil,Class,FlightNumber,Date,ReusedCore,ReusedFairings,PayloadMass
30000000.00,6000000.00,14000000.00,32200000.00,82200000.00,62000000.00,46000000.00,108000000.00,25800000.00,1,24,8/14/2016,0,0,4600
30000000.00,6000000.00,14000000.00,38500000.00,88500000.00,62000000.00,55000000.00,117000000.00,28500000.00,0,25,9/1/2016,0,0,5500
30000000.00,6000000.00,14000000.00,67200000.00,117200000.00,62000000.00,96000000.00,158000000.00,40800000.00,1,26,1/14/2017,0,0,9600
30000000.00,6000000.00,14000000.00,17430000.00,67430000.00,62000000.00,24900000.00,86900000.00,19470000.00,1,27,2/19/2017,0,0,2490
30000000.00,6000000.00,14000000.00,39200000.00,89200000.00,62000000.00,56000000.00,118000000.00,28800000.00,0,28,3/16/2017,0,0,5600
250000.00,6000000.00,14000000.00,37100000.00,57350000.00,50000000.00,53000000.00,103000000.00,45650000.00,1,29,3/30/2017,1,0,5300
30000000.00,6000000.00,14000000.00,42734715.88,92734715.88,62000000.00,61049594.12,123049594.10,30314878.22,1,30,5/1/2017,0,0,6104.959412
30000000.00,6000000.00,14000000.00,42490000.00,92490000.00,62000000.00,60700000.00,122700000.00,30210000.00,0,31,5/15/2017,0,0,6070
30000000.00,6000000.00,14000000.00,18956000.00,68956000.00,62000000.00,27080000.00,89080000.00,20124000.00,1,32,6/3/2017,0,0,2708
250000.00,6000000.00,14000000.00,25683000.00,45933000.00,50000000.00,36690000.00,86690000.00,40757000.00,1,33,6/23/2017,1,0,3669
30000000.00,6000000.00,14000000.00,67200000.00,117200000.00,62000000.00,96000000.00,158000000.00,40800000.00,1,34,6/25/2017,0,0,9600
30000000.00,6000000.00,14000000.00,47327000.00,97327000.00,62000000.00,67610000.00,129610000.00,32283000.00,0,35,7/5/2017,0,0,6761
30000000.00,6000000.00,14000000.00,20370000.00,70370000.00,62000000.00,29100000.00,91100000.00,20730000.00,1,36,8/14/2017,0,0,2910
30000000.00,6000000.00,14000000.00,3325000.00,53325000.00,62000000.00,4750000.00,66750000.00,13425000.00,1,37,8/24/2017,0,0,475
30000000.00,6000000.00,14000000.00,34930000.00,84930000.00,62000000.00,49900000.00,111900000.00,26970000.00,1,38,9/7/2017,0,0,4990
30000000.00,6000000.00,14000000.00,67200000.00,117200000.00,62000000.00,96000000.00,158000000.00,40800000.00,1,39,10/9/2017,0,0,9600
250000.00,6000000.00,14000000.00,36400000.00,56650000.00,50000000.00,52000000.00,102000000.00,45350000.00,1,40,10/11/2017,1,0,5200
30000000.00,6000000.00,14000000.00,25900000.00,75900000.00,62000000.00,37000000.00,99000000.00,23100000.00,1,41,10/30/2017,0,0,3700
250000.00,6000000.00,14000000.00,15435000.00,35685000.00,50000000.00,22050000.00,72050000.00,36365000.00,1,42,12/15/2017,1,0,2205
250000.00,6000000.00,14000000.00,67200000.00,87450000.00,50000000.00,96000000.00,146000000.00,58550000.00,1,43,12/23/2017,1,0,9600
30000000.00,6000000.00,14000000.00,42734715.88,92734715.88,62000000.00,61049594.12,123049594.10,30314878.22,1,44,1/8/2018,0,0,6104.959412
250000.00,6000000.00,14000000.00,29610000.00,49860000.00,50000000.00,42300000.00,92300000.00,42440000.00,1,45,1/31/2018,1,0,4230
30000000.00,6000000.00,14000000.00,42644000.00,92644000.00,62000000.00,60920000.00,122920000.00,30276000.00,0,46,3/6/2018,0,0,6092
250000.00,6000000.00,14000000.00,67200000.00,87450000.00,50000000.00,96000000.00,146000000.00,58550000.00,0,47,3/30/2018,1,0,9600
250000.00,6000000.00,14000000.00,19320000.00,39570000.00,50000000.00,27600000.00,77600000.00,38030000.00,0,48,4/2/2018,1,0,2760
30000000.00,6000000.00,14000000.00,2450000.00,52450000.00,62000000.00,3500000.00,65500000.00,13050000.00,1,49,4/18/2018,0,0,350
30000000.00,6000000.00,14000000.00,26250000.00,76250000.00,62000000.00,37500000.00,99500000.00,23250000.00,1,50,5/11/2018,0,0,3750
250000.00,6000000.00,14000000.00,37686950.00,57936950.00,50000000.00,53838500.00,103838500.00,45901550.00,0,51,6/4/2018,1,0,5383.85
250000.00,6000000.00,14000000.00,16870000.00,37120000.00,50000000.00,24100000.00,74100000.00,36980000.00,0,52,6/29/2018,1,0,2410
30000000.00,6000000.00,14000000.00,49532000.00,99532000.00,62000000.00,70760000.00,132760000.00,33228000.00,1,53,7/22/2018,0,0,7076
30000000.00,6000000.00,14000000.00,67200000.00,117200000.00,62000000.00,96000000.00,158000000.00,40800000.00,1,54,7/25/2018,0,0,9600
250000.00,6000000.00,14000000.00,40600000.00,60850000.00,50000000.00,58000000.00,108000000.00,47150000.00,1,55,8/7/2018,1,0,5800
30000000.00,6000000.00,14000000.00,49420000.00,99420000.00,62000000.00,70600000.00,132600000.00,33180000.00,1,56,9/10/2018,0,0,7060
250000.00,6000000.00,14000000.00,19600000.00,39850000.00,50000000.00,28000000.00,78000000.00,38150000.00,1,57,10/8/2018,1,0,2800
250000.00,6000000.00,14000000.00,21000000.00,41250000.00,50000000.00,30000000.00,80000000.00,38750000.00,1,58,11/15/2018,1,0,3000
250000.00,6000000.00,14000000.00,28000000.00,48250000.00,50000000.00,40000000.00,90000000.00,41750000.00,1,59,12/3/2018,1,0,4000
30000000.00,6000000.00,14000000.00,18011000.00,68011000.00,62000000.00,25730000.00,87730000.00,19719000.00,0,60,12/5/2018,0,0,2573
30000000.00,6000000.00,14000000.00,30800000.00,80800000.00,62000000.00,44000000.00,106000000.00,25200000.00,0,61,12/23/2018,0,0,4400
250000.00,6000000.00,14000000.00,67200000.00,87450000.00,50000000.00,96000000.00,146000000.00,58550000.00,1,62,1/11/2019,1,0,9600
30000000.00,6000000.00,14000000.00,85813000.00,135813000.00,62000000.00,122590000.00,184590000.00,48777000.00,1,63,3/2/2019,0,0,12259
30000000.00,6000000.00,14000000.00,17374000.00,67374000.00,62000000.00,24820000.00,86820000.00,19446000.00,1,64,5/4/2019,0,0,2482
250000.00,6000000.00,14000000.00,95340000.00,115590000.00,50000000.00,136200000.00,186200000.00,70610000.00,1,65,5/24/2019,1,0,13620
250000.00,6000000.00,14000000.00,9975000.00,30225000.00,50000000.00,14250000.00,64250000.00,34025000.00,1,66,6/12/2019,1,0,1425
250000.00,6000000.00,14000000.00,15593900.00,35843900.00,50000000.00,22277000.00,72277000.00,36433100.00,1,67,7/25/2019,1,0,2227.7
250000.00,6000000.00,14000000.00,45500000.00,65750000.00,50000000.00,65000000.00,115000000.00,49250000.00,0,68,8/6/2019,1,0,6500
250000.00,750000.00,14000000.00,109200000.00,124200000.00,50000000.00,156000000.00,206000000.00,81800000.00,1,69,11/11/2019,1,1,15600
30000000.00,6000000.00,14000000.00,35000000.00,85000000.00,62000000.00,50000000.00,112000000.00,27000000.00,1,70,12/5/2019,0,0,5000
250000.00,6000000.00,14000000.00,47600000.00,67850000.00,50000000.00,68000000.00,118000000.00,50150000.00,1,71,12/17/2019,1,0,6800
250000.00,6000000.00,14000000.00,107800000.00,128050000.00,50000000.00,154000000.00,204000000.00,75950000.00,1,72,1/7/2020,1,0,15400
250000.00,6000000.00,14000000.00,42734715.88,62984715.88,50000000.00,61049594.12,111049594.10,48064878.22,0,73,1/19/2020,1,0,6104.959412
250000.00,6000000.00,14000000.00,109200000.00,129450000.00,50000000.00,156000000.00,206000000.00,76550000.00,1,74,1/29/2020,1,0,15600
250000.00,6000000.00,14000000.00,107800000.00,128050000.00,50000000.00,154000000.00,204000000.00,75950000.00,0,75,2/17/2020,1,0,15400
250000.00,6000000.00,14000000.00,13839000.00,34089000.00,50000000.00,19770000.00,69770000.00,35681000.00,1,76,3/7/2020,1,0,1977
250000.00,750000.00,14000000.00,109200000.00,124200000.00,50000000.00,156000000.00,206000000.00,81800000.00,0,77,3/18/2020,1,1,15600
250000.00,750000.00,14000000.00,107800000.00,122800000.00,50000000.00,154000000.00,204000000.00,81200000.00,1,78,4/22/2020,1,1,15400
30000000.00,6000000.00,14000000.00,66675000.00,116675000.00,62000000.00,95250000.00,157250000.00,40575000.00,1,79,5/30/2020,0,0,9525
250000.00,6000000.00,14000000.00,107800000.00,128050000.00,50000000.00,154000000.00,204000000.00,75950000.00,1,80,6/4/2020,1,0,15400
250000.00,750000.00,14000000.00,107800000.00,122800000.00,50000000.00,154000000.00,204000000.00,81200000.00,1,81,6/13/2020,1,1,15400
30000000.00,6000000.00,14000000.00,27160000.00,77160000.00,62000000.00,38800000.00,100800000.00,23640000.00,1,82,6/30/2020,0,0,3880
250000.00,6000000.00,14000000.00,42734715.88,62984715.88,50000000.00,61049594.12,111049594.10,48064878.22,1,83,7/20/2020,1,0,6104.959412
250000.00,750000.00,14000000.00,107800000.00,122800000.00,50000000.00,154000000.00,204000000.00,81200000.00,1,84,8/18/2020,1,1,15400
250000.00,6000000.00,14000000.00,11200000.00,31450000.00,50000000.00,16000000.00,66000000.00,34550000.00,1,85,8/30/2020,1,0,1600
250000.00,6000000.00,14000000.00,107800000.00,128050000.00,50000000.00,154000000.00,204000000.00,75950000.00,1,86,9/3/2020,1,0,15400
250000.00,750000.00,14000000.00,107800000.00,122800000.00,50000000.00,154000000.00,204000000.00,81200000.00,1,87,10/6/2020,1,1,15400
250000.00,750000.00,14000000.00,107800000.00,122800000.00,50000000.00,154000000.00,204000000.00,81200000.00,1,88,10/18/2020,1,1,15400
250000.00,6000000.00,14000000.00,107800000.00,128050000.00,50000000.00,154000000.00,204000000.00,75950000.00,1,89,10/24/2020,1,0,15400
30000000.00,6000000.00,14000000.00,25767000.00,75767000.00,62000000.00,36810000.00,98810000.00,23043000.00,1,90,11/5/2020,0,0,3681
